subject,field,value,source,observed,confidence,note,license
amstel-36,coordinate,"52.3671667,4.8956667",photos-2009,2009-10-06,0.9,"own GPS, DOP 3.0, camera bearing 152.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
amstel-36,key_photo,PicturesOriginal/IMG_0139.JPG,photos-2009,2009-10-06,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
amstel-36,trading,true,photos-2009,2009-10-06,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
amstel-36,photo_heading,152.9,photos-2009,2009-10-06,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
amstel-8,coordinate,"52.3671667,4.8941667",photos-2009,2009-10-06,0.9,"own GPS, DOP 3.0, camera bearing 154.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
amstel-8,key_photo,PicturesOriginal/IMG_0146.JPG,photos-2009,2009-10-06,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
amstel-8,trading,true,photos-2009,2009-10-06,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
amstel-8,photo_heading,154.9,photos-2009,2009-10-06,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
amsteldijk-139,coordinate,"52.3466667,4.9115",photos-2009,2009-10-13,0.9,"own GPS, DOP 5.0, camera bearing 244.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
amsteldijk-139,key_photo,PicturesOriginal/IMG_0506.JPG,photos-2009,2009-10-13,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
amsteldijk-139,trading,true,photos-2009,2009-10-13,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
amsteldijk-139,photo_heading,244.9,photos-2009,2009-10-13,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
amstelstraat-35,coordinate,"52.3646667,4.8995",photos-2009,2009-10-04,0.6,"own GPS, DOP 10.0, camera bearing 249.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
amstelstraat-35,key_photo,PicturesOriginal/IMG_0048.JPG,photos-2009,2009-10-04,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
amstelstraat-35,trading,true,photos-2009,2009-10-04,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
amstelstraat-35,photo_heading,249.9,photos-2009,2009-10-04,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
amstelstraat-45,coordinate,"52.365,4.8993333",photos-2009,2009-10-04,0.9,"own GPS, DOP 5.0, camera bearing 293.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
amstelstraat-45,key_photo,PicturesOriginal/IMG_0049.JPG,photos-2009,2009-10-04,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
amstelstraat-45,trading,true,photos-2009,2009-10-04,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
amstelstraat-45,photo_heading,293.9,photos-2009,2009-10-04,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
amstelveenseweg-1160,coordinate,"52.3218333,4.8566667",photos-2009,2009-11-06,0.6,"own GPS, DOP 10.0, camera bearing 5.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
amstelveenseweg-1160,key_photo,PicturesOriginal/IMG_5027.JPG,photos-2009,2009-11-06,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
amstelveenseweg-1160,trading,true,photos-2009,2009-11-06,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
amstelveenseweg-1160,photo_heading,5.9,photos-2009,2009-11-06,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
amstelveenseweg-61,coordinate,"52.354,4.8556667",photos-2009,2009-10-14,0.9,"own GPS, DOP 1.0, camera bearing 304.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
amstelveenseweg-61,key_photo,PicturesOriginal/IMG_0662.JPG,photos-2009,2009-10-14,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
amstelveenseweg-61,trading,true,photos-2009,2009-10-14,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
amstelveenseweg-61,photo_heading,304.9,photos-2009,2009-10-14,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
baarsjesweg-239,coordinate,"52.3623333,4.8575",photos-2009,2009-10-14,0.9,"own GPS, DOP 3.0, camera bearing 264.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
baarsjesweg-239,key_photo,PicturesOriginal/IMG_0753.JPG,photos-2009,2009-10-14,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
baarsjesweg-239,trading,true,photos-2009,2009-10-14,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
baarsjesweg-239,photo_heading,264.9,photos-2009,2009-10-14,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
balboastraat-19,coordinate,"52.3691667,4.8535",photos-2009,2009-10-14,0.9,"own GPS, DOP 3.0, camera bearing 220.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
